epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9222,1.05522,1.67328,1.82205,0.88201,0.90611,0.96037,0.66237,1.16277,0.9709,2.13428,0.000652482,0.000652482,0.000652482
2,24.4223,0.59698,0.56969,1.19996,0.89202,0.78788,0.85382,0.62221,0.92693,1.14604,1.62784,0.00125385,0.00125385,0.00125385
3,34.7133,0.56796,0.53498,1.15052,0.9452,0.9697,0.98817,0.787,0.82566,0.80287,1.46647,0.00178922,0.00178922,0.00178922
4,45.0092,0.57019,0.50411,1.14412,0.90284,0.96364,0.97845,0.6999,1.03642,0.8285,1.6761,0.001703,0.001703,0.001703
5,55.3145,0.55277,0.497,1.12762,0.73075,0.7073,0.77079,0.56727,0.95653,1.50935,1.50998,0.001604,0.001604,0.001604
6,65.6235,0.53431,0.45316,1.10984,0.86859,0.88485,0.94113,0.71426,0.8478,0.74545,1.30678,0.001505,0.001505,0.001505
7,75.9159,0.50044,0.41745,1.0799,0.99212,0.99394,0.995,0.88742,0.53806,0.44723,0.9906,0.001406,0.001406,0.001406
8,86.2669,0.47617,0.39963,1.07908,0.95221,0.96604,0.99093,0.87796,0.49904,0.69254,0.92608,0.001307,0.001307,0.001307
9,96.5437,0.46938,0.37611,1.04669,0.98347,0.99394,0.99464,0.85276,0.62684,0.4299,1.14061,0.001208,0.001208,0.001208
10,106.849,0.45459,0.35781,1.05837,0.94713,0.98788,0.98871,0.88884,0.51775,0.41802,0.98334,0.001109,0.001109,0.001109
11,118.224,0.4143,0.41728,1.09687,0.99315,0.99394,0.995,0.89824,0.52803,0.35458,0.98101,0.00101,0.00101,0.00101
12,128.576,0.36529,0.30146,1.04313,0.99833,0.99394,0.995,0.92095,0.42248,0.32007,0.86211,0.000911,0.000911,0.000911
13,138.832,0.36175,0.29629,1.04591,0.98165,0.97256,0.99298,0.91582,0.45257,0.32026,0.86938,0.000812,0.000812,0.000812
14,149.036,0.3321,0.2873,1.02282,0.99955,0.98788,0.99152,0.93909,0.39036,0.30617,0.82572,0.000713,0.000713,0.000713
15,159.243,0.30665,0.24969,0.99762,0.99397,0.99899,0.995,0.93989,0.37313,0.26092,0.81555,0.000614,0.000614,0.000614
16,169.487,0.29459,0.22688,0.97772,0.99951,1,0.995,0.9285,0.37773,0.2503,0.80606,0.000515,0.000515,0.000515
17,179.667,0.2858,0.21631,0.98046,0.99931,1,0.995,0.94356,0.35145,0.24007,0.78314,0.000416,0.000416,0.000416
18,189.897,0.26848,0.20481,0.95398,0.99957,1,0.995,0.95302,0.3575,0.23011,0.78623,0.000317,0.000317,0.000317
19,200.086,0.25704,0.19115,0.97268,0.99953,1,0.995,0.96395,0.32619,0.21793,0.76946,0.000218,0.000218,0.000218
20,210.312,0.24818,0.18285,0.94824,0.99963,1,0.995,0.96061,0.32318,0.21183,0.76345,0.000119,0.000119,0.000119
