epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81813,0.78365,1.51995,1.17469,0.57855,0.85,0.87867,0.63494,1.63,1.06771,1.37289,0,0,0
2,6.58457,0.86439,2.19014,1.21049,0.56773,0.85,0.87776,0.63475,1.64741,1.06056,1.37474,1.07219e-06,1.07219e-06,1.07219e-06
3,8.26469,1.14119,1.91943,1.51739,0.6011,0.85,0.84961,0.65011,1.64146,1.04659,1.37166,1.90876e-06,1.90876e-06,1.90876e-06
4,9.9783,1.08952,1.62195,1.41303,0.61256,0.85,0.85071,0.65022,1.64533,1.04844,1.37227,2.50971e-06,2.50971e-06,2.50971e-06
5,11.668,0.94885,2.07083,1.37636,0.61909,0.85,0.87377,0.65348,1.62575,1.0465,1.35957,2.87504e-06,2.87504e-06,2.87504e-06
6,13.3541,1.05895,1.56911,1.47314,0.63116,0.85,0.85215,0.65144,1.60988,1.0225,1.34409,3.00475e-06,3.00475e-06,3.00475e-06
7,15.0892,0.94047,1.58605,1.31044,0.63842,0.85,0.85123,0.65061,1.6029,1.03126,1.34304,2.89884e-06,2.89884e-06,2.89884e-06
8,16.7693,1.05129,1.87362,1.43789,0.65057,0.85,0.85322,0.65078,1.598,1.03061,1.33895,2.55731e-06,2.55731e-06,2.55731e-06
9,18.4453,1.07044,1.64085,1.41526,0.65204,0.85,0.85443,0.64268,1.58351,1.02648,1.33106,1.98016e-06,1.98016e-06,1.98016e-06
10,20.1378,0.93698,1.48412,1.23862,0.65733,0.85,0.86172,0.64586,1.55734,1.01785,1.31836,1.16739e-06,1.16739e-06,1.16739e-06
