epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69979,2.46038,5.34612,3.22985,0,0,0,0,2.75838,6.24314,3.81192,0,0,0
2,6.52441,2.70811,5.11391,3.37064,0,0,0,0,2.73549,6.21572,3.78886,1.17822e-06,1.17822e-06,1.17822e-06
3,8.26275,2.20305,5.08016,3.9432,0,0,0,0,2.78274,6.21669,3.78611,2.33288e-06,2.33288e-06,2.33288e-06
4,9.98255,2.28654,5.20617,2.63662,0,0,0,0,2.77447,6.19915,3.71638,3.46397e-06,3.46397e-06,3.46397e-06
5,11.7114,2.54272,5.33313,3.28264,0,0,0,0,2.81641,6.20606,3.74323,4.5715e-06,4.5715e-06,4.5715e-06
6,13.4473,2.14009,4.96484,3.48388,0,0,0,0,2.87102,6.21574,3.80334,5.65548e-06,5.65548e-06,5.65548e-06
7,15.1765,2.3135,5.02831,2.65752,0,0,0,0,2.92392,6.24347,3.83638,6.71588e-06,6.71588e-06,6.71588e-06
8,16.8845,2.46893,5.18142,3.78611,0,0,0,0,2.99495,6.24913,3.8509,7.75273e-06,7.75273e-06,7.75273e-06
9,18.6017,2.38978,5.10364,3.31404,0,0,0,0,3.05667,6.22786,3.84599,8.76602e-06,8.76602e-06,8.76602e-06
10,20.3704,2.14983,5.11008,3.14779,0,0,0,0,3.13625,6.13153,3.84311,9.75574e-06,9.75574e-06,9.75574e-06
11,22.0937,2.21934,5.01729,2.62901,0,0,0,0,3.1482,6.15464,3.83627,1.07219e-05,1.07219e-05,1.07219e-05
12,23.8079,2.12824,5.2947,2.5256,0,0,0,0,3.1738,6.19642,3.7868,1.16645e-05,1.16645e-05,1.16645e-05
13,25.5277,1.9473,4.92786,2.15734,0,0,0,0,3.18663,6.19443,3.77542,1.25835e-05,1.25835e-05,1.25835e-05
14,27.2812,2.298,5.24082,3.60551,0,0,0,0,3.18305,6.23872,3.73238,1.3479e-05,1.3479e-05,1.3479e-05
15,29.0185,2.21636,5.07866,2.52266,0,0,0,0,3.17907,6.25779,3.69425,1.43509e-05,1.43509e-05,1.43509e-05
16,30.7497,2.13132,4.94711,2.90701,0,0,0,0,3.17775,6.27972,3.6531,1.51993e-05,1.51993e-05,1.51993e-05
17,32.4486,2.10592,5.01812,2.59804,0,0,0,0,3.18304,6.29872,3.61411,1.60241e-05,1.60241e-05,1.60241e-05
18,34.1585,2.19868,5.03817,2.50234,0,0,0,0,3.18304,6.29872,3.61411,1.68253e-05,1.68253e-05,1.68253e-05
19,35.9049,2.29352,5.1289,3.03414,0,0,0,0,3.18519,6.26264,3.5916,1.7603e-05,1.7603e-05,1.7603e-05
20,37.5669,2.18326,5.37234,2.72311,0,0,0,0,3.18519,6.26264,3.5916,1.83571e-05,1.83571e-05,1.83571e-05
21,39.2828,2.32996,5.13967,3.58484,0,0,0,0,3.18441,6.19907,3.56153,1.90876e-05,1.90876e-05,1.90876e-05
22,41.0051,2.26994,5.01833,3.10023,0,0,0,0,3.18441,6.19907,3.56153,1.97946e-05,1.97946e-05,1.97946e-05
23,42.7012,2.11926,4.98479,2.67167,0,0,0,0,3.17797,6.19297,3.5493,2.0478e-05,2.0478e-05,2.0478e-05
24,44.3792,2.36478,5.21286,4.08061,0,0,0,0,3.17797,6.19297,3.5493,2.11379e-05,2.11379e-05,2.11379e-05
25,46.0945,2.10863,5.04628,2.94338,0,0,0,0,3.14221,6.12732,3.49104,2.17741e-05,2.17741e-05,2.17741e-05
26,47.776,2.15128,5.0547,2.80149,0,0,0,0,3.14221,6.12732,3.49104,2.23869e-05,2.23869e-05,2.23869e-05
27,49.4917,1.92767,5.09666,2.91348,0,0,0,0,3.134,6.1435,3.48218,2.2976e-05,2.2976e-05,2.2976e-05
28,51.1674,1.9488,4.86872,2.24508,0,0,0,0,3.134,6.1435,3.48218,2.35417e-05,2.35417e-05,2.35417e-05
29,52.8875,1.99981,4.96882,2.3162,0,0,0,0,3.16022,6.14087,3.52585,2.40837e-05,2.40837e-05,2.40837e-05
30,54.5879,2.13038,5.11031,3.24085,0,0,0,0,3.16022,6.14087,3.52585,2.46022e-05,2.46022e-05,2.46022e-05
31,56.3127,2.09938,4.97069,2.31307,0,0,0,0,3.11719,6.21895,3.49466,2.50971e-05,2.50971e-05,2.50971e-05
32,58.0769,2.06138,5.04575,2.88901,0,0,0,0,3.11719,6.21895,3.49466,2.55685e-05,2.55685e-05,2.55685e-05
33,59.8363,2.08369,5.20571,3.03172,0,0,0,0,3.11398,6.24179,3.4706,2.60163e-05,2.60163e-05,2.60163e-05
34,61.6262,2.04845,4.97178,2.38843,0,0,0,0,3.11398,6.24179,3.4706,2.64405e-05,2.64405e-05,2.64405e-05
35,63.5199,1.87208,5.01832,2.65031,0,0,0,0,3.11877,6.24459,3.489,2.68412e-05,2.68412e-05,2.68412e-05
36,65.4477,1.74341,4.9561,2.50652,0,0,0,0,3.11877,6.24459,3.489,2.72183e-05,2.72183e-05,2.72183e-05
37,67.453,2.07595,5.12555,2.42594,0,0,0,0,3.11493,6.20665,3.41596,2.75718e-05,2.75718e-05,2.75718e-05
38,69.2182,1.83734,5.04033,2.12983,0,0,0,0,3.11493,6.20665,3.41596,2.79018e-05,2.79018e-05,2.79018e-05
39,71.0318,1.86507,4.932,2.5046,0,0,0,0,3.14509,6.19498,3.42101,2.82082e-05,2.82082e-05,2.82082e-05
